1005,TCB_05_T1,TCB_05_T2,TCB_05_T3,TCG_05_T1,TCG_05_T2,TCG_05_T3,TCW_05_T1,TCW_05_T2,TCW_05_T3,blue_05_T1,blue_05_T2,blue_05_T3,green_05_T1,green_05_T2,green_05_T3,mndwi_05_T1,mndwi_05_T2,mndwi_05_T3,ndmi_05_T1,ndmi_05_T2,ndmi_05_T3,ndvi_05_T1,ndvi_05_T2,ndvi_05_T3,ndwi_05_T1,ndwi_05_T2,ndwi_05_T3,nir_05_T1,nir_05_T2,nir_05_T3,red_05_T1,red_05_T2,red_05_T3,swir1_05_T1,swir1_05_T2,swir1_05_T3,swir2_05_T1,swir2_05_T2,swir2_05_T3,.geo
0,2670.6733,2611.7656,2568.61255,2001.7645,1811.07565,1452.96875,-786.4974,-794.39915,-884.40255,717,286,395.5,813.5,303.5,489,-0.5825529185,-0.8037186742,-0.6680244399,0.3127593913,0.3019022056,0.2172405251,0.6199606041,0.8037186742,0.7245130725,-0.3299011532,-0.662590328,-0.5273078782,3084,2789,2457,723.5,396.5,392.5,1614.5,1495.5,1580,820,662,710,
0,2454.9009,2336.19465,2395.80015,1487.6963,1310.43405,1232.3199,-710.7269,-814.67445,-906.4642,353,311,384.5,448.5,374,489.5,-0.6954159593,-0.7119198922,-0.6328520533,0.2627718766,0.2078804348,0.1687021876,0.7202411714,0.7119198922,0.6941634241,-0.5293809024,-0.5915915916,-0.5196270854,2496.5,2222.5,2177,406,448.5,393,1457.5,1457.5,1548.5,656.5,644,708,
0,618.219,566.53155,482.50095,228.5217,182.51775,42.63475,31.0317,15.59665,36.2228,198.5,192.5,253,239,185.5,206.5,-0.3934010152,-0.4374526156,-0.2125834128,0.5051405072,0.5302663438,0.516090584,0.4428383706,0.4374526156,0.2325581395,0.1394517282,0.1208459215,0.3409090909,549,474,318,212,199,198,180.5,145.5,101.5,107.5,106,92.5,
1,3042.6907,2318.63245,1431.9811,1562.296,1067.3946,726.95085,-351.2376,-186.58225,-123.95185,956,418.5,294.5,1274,581.5,419,-0.4365948038,-0.5719543614,-0.5317127689,0.3775045055,0.4175240624,0.4220492866,0.4853680841,0.5719543614,0.6199763593,-0.07075127644,-0.202878684,-0.1413934426,3248.5,2135.5,1370.5,1125.5,742.5,321.5,1468,877.5,557,860,447.5,257,
1,3146.4212,2801.64265,2094.112,1634.3497,1421.59555,1131.75995,-506.4105,-333.44955,-291.857,781,459.5,340,1115,637,548.5,-0.4911580148,-0.613353566,-0.5759567066,0.3432682425,0.374531351,0.3775975672,0.5617158561,0.613353566,0.6429578884,-0.1778801843,-0.310046033,-0.2534875808,3267.5,2658,2038.5,917,807,443,1597.5,1209.5,921,877.5,506,407.5,
0,583.0067,550.6034,471.00345,-32.8625,-38.30135,-79.3304,43.1275,47.43115,62.87095,597,267,292.5,683.5,249.5,313.5,-0.2697649573,-0.07335190344,0.1942857143,0.3323991031,0.3811230585,0.3868852459,0.315804041,0.07335190344,0.01317365269,0.06880375293,0.3166226913,0.5405405405,1188.5,289,211.5,618,311.5,206,595.5,129.5,93.5,405,97,71.5,
0,682.3513,635.716,443.24765,-70.6251,-80.7981,-92.1432,29.3806,8.9129,27.2912,367,321,277.5,386,289.5,298.5,0.06851211073,-0.006008583691,0.2476489028,0.1879964695,0.1743486974,0.25,-0.005173688101,0.006008583691,-0.0243902439,0.2532467532,0.1685166498,0.4686346863,336.5,293,180,340,363,189,230,206,108,124.5,116,91,
0,647.0923,605.5154,477.02035,-53.0529,-69.58755,-87.012,52.7121,51.28645,64.0794,365.5,312,292,407.5,273,331,0.09543010753,-0.03533568905,0.2225300092,0.305528613,0.3139013453,0.4467353952,0.0196969697,0.03533568905,0.01323706378,0.389599318,0.2816901408,0.6087484812,336.5,293,210.5,323.5,366.5,205,179,153,80.5,164.5,98,89,
0,2993.8888,2897.17495,2760.5509,2418.4321,2325.8825,1996.76105,-608.7672,-604.6674,-643.6257,283.5,263,320,424.5,274,440.5,-0.800446586,-0.8504570883,-0.7471297359,0.4206231454,0.3956982608,0.3544726302,0.8596746783,0.8504570883,0.8043574922,-0.5726151523,-0.6854190586,-0.5341089371,3830,3390.5,3043.5,289,400,330,1562,1468,1450.5,631.5,524,561.5,
0,1738.3355,1717.72605,1543.3055,1053.6998,1041.43305,801.7741,-275.9234,-308.0978,-299.67545,282,264.5,273,463,273.5,408,-0.6231943032,-0.729743083,-0.5639861074,0.370790378,0.3737492643,0.3356148757,0.7231101512,0.729743083,0.6583569405,-0.32825535,-0.4895007,-0.2816901408,1994.5,1750.5,1463.5,320.5,420,301.5,915.5,798,728,424.5,363.5,363.5,
0,1814.7979,1771.57135,1550.29495,1003.0271,1027.4419,819.7858,-332.3844,-317.94395,-272.89275,300,293,289,483.5,311.5,385,-0.6097659403,-0.7009839213,-0.5886752137,0.3705548875,0.3744425053,0.3499773037,0.7112827113,0.7009839213,0.6481019673,-0.3090389425,-0.4427549195,-0.3006357856,1994.5,1772,1487,336.5,429,317.5,916,806.5,716,474,399.5,340.5,
0,654.9984,594.42,474.99075,-93.4768,-73.03165,-72.2892,25.7441,66.8045,38.9003,680.5,310.5,275,752.5,286.5,310,-0.06666666667,-8.72E-04,0.1911623439,0.3074876473,0.3348837209,0.1909476662,0.1501170177,8.72E-04,0.01690821256,0.2458609272,0.3341094296,0.3686534216,860,287,210.5,635.5,347,203.5,455.5,143,143,352,82.5,52,
0,3406.811,3246.5936,3390.0799,1000.7838,1753.13815,1935.1788,-2243.4395,-1373.17515,-1333.3221,470,382,405.5,773.5,466,651.5,-0.5443298969,-0.7296983759,-0.6633074935,0.04162113837,0.1376251788,0.1748494251,0.5057438254,0.7296983759,0.7470484462,-0.5143619526,-0.6581698148,-0.5525412088,2621.5,2982,3218.5,860.5,644.5,466,2412,2260.5,2260.5,1414,977,977,
0,3171.6383,3049.2034,2983.9966,2647.1809,2474.64455,2245.0839,-608.9437,-618.32075,-655.12575,291,290.5,343,435.5,269.5,498,-0.8097214637,-0.8603988604,-0.7420691441,0.4025226445,0.4014242513,0.3735579377,0.8659758982,0.8603988604,0.8374760994,-0.6040909091,-0.7011366787,-0.5098425197,4142,3591.5,3363.5,297.5,426,297.5,1764.5,1534,1534,640.5,533,574.5,
0,3403.933,3203.18425,2873.6264,2099.5889,2023.2057,1757.4757,-769.7304,-747.26425,-721.9111,623,337.5,316.5,848.5,589,466.5,-0.6375480564,-0.6981422165,-0.7249410377,0.3493488208,0.3434015812,0.3364550023,0.6378978851,0.6981422165,0.6842256765,-0.3707823508,-0.4666062939,-0.5138092757,3833.5,3313.5,2925.5,847.5,533.5,548.5,1848.5,1619.5,1452.5,985.5,776.5,776,
0,531.2337,464.82705,398.52975,40.2753,25.06575,-78.79405,71.1206,50.9663,36.7451,256.5,211.5,243.5,290.5,199.5,236,-0.1190295679,-0.1939393939,0.1668726823,0.5735607676,0.5552631579,0.2838095238,0.2078559738,0.1939393939,-0.07671232877,0.4878361076,0.4049295775,0.4303030303,369,295.5,168.5,242,229,196.5,100,84.5,94,87.5,87.5,69.5,
0,3100.4933,2966.64495,2853.58545,2581.7942,2367.06555,2100.42135,-589.0717,-629.632,-656.12405,303.5,282,314,436,270.5,430.5,-0.8083095186,-0.8549403405,-0.7616938832,0.4071159767,0.3948986793,0.3701431493,0.8765826394,0.8549403405,0.8077250781,-0.5979714154,-0.6945228684,-0.5452865065,4113,3459,3182.5,270.5,426.5,338.5,1733,1500.5,1463,631,554.5,605,
0,3027.5165,2833.27785,2703.4556,2480.4078,2243.813,1983.7925,-563.922,-575.1015,-582.99175,308,269.5,293.5,415.5,276,447.5,-0.8126901837,-0.8455079765,-0.7413668545,0.4158450704,0.4040242734,0.375328084,0.8620050938,0.8455079765,0.8090663464,-0.5994215474,-0.6705461056,-0.5071585903,4021,3297,3013,298,415.5,318,1659,1399.5,1368.5,622,534,540.5,
0,539.1775,510.63105,450.6918,34.5333,27.06055,-22.02975,70.0793,65.2393,73.67405,257,226,214,295,216.5,256.5,-0.1121143717,-0.1974050046,0.01483679525,0.5316062176,0.5326215896,0.4821428571,0.2075163399,0.1974050046,0.07559395248,0.4460784314,0.3746031746,0.4934497817,369.5,323,249,242.5,266.5,214,113,98.5,87,91,77.5,52,
0,3343.1356,2922.3791,2853.14395,1431.103,1153.24655,996.6287,-1444.6371,-1409.07675,-1487.5347,532,395,442.5,832,600,623.5,-0.5670612723,-0.5915588836,-0.5529664814,0.1658923732,0.06454183267,0.02641867077,0.6153949309,0.5915588836,0.5661605206,-0.4428260506,-0.5479374647,-0.5343539955,3011.5,2338,2166,717,623.5,600,2154.5,2054.5,2054.5,1042.5,1159,1245,
0,808.4607,843.7672,895.94645,323.1156,293.64835,183.89745,-107.0658,-160.02725,-301.42325,235.5,215.5,275.5,317.5,230,264,-0.4227272727,-0.4975423266,-0.3903002309,0.3543920381,0.2653437933,0.05614035088,0.5456790123,0.4975423266,0.3799426934,-0.08037653874,-0.2675159236,-0.3416458853,782.5,685.5,602,230,256,270.5,373,398,538,198.5,210,290,
0,562.9177,507.616,405.9944,7.8295,13.09805,-62.4004,106.2356,80.7622,50.3133,294,224.5,241,356.5,225.5,265,-0.08295819936,-0.1655874191,0.1648351648,0.6558505408,0.6279069767,0.5019762846,0.2071684588,0.1655874191,0.03542234332,0.6058558559,0.5159663866,0.6158536585,421,315,190,276.5,274,177,87.5,72,63,86.5,86.5,87,
0,3779.2202,3590.12685,3406.48325,1571.4362,1552.1281,1288.24615,-1590.1771,-1478.18655,-1523.5604,534.5,516,543.5,868.5,736,777,-0.5815970131,-0.6080937167,-0.5520968439,0.1575143235,0.124871962,0.0680285601,0.5973725824,0.6080937167,0.5699708455,-0.4668508287,-0.5229298331,-0.5029585799,3283,3020,2692.5,827.5,777,737.5,2389.5,2349.5,2349.5,1281.5,1247.5,1238.5,
0,501.9919,472.86985,425.4239,73.1112,80.6656,10.33115,36.7928,30.62095,32.36335,215.5,189,217,270,178.5,205.5,-0.1647331787,-0.3047711782,-0.1035986914,0.3983286908,0.4105263158,0.3583892617,0.2518703242,0.3047711782,0.1605504587,0.25,0.1208791209,0.2646153846,376.5,335,253,225,211,183,162,140,119.5,51.5,51.5,52,
0,3682.454,3571.2376,3516.9005,2309.1288,2236.6418,2154.55005,-1101.3108,-1047.70575,-1035.5639,409,396.5,423,695,534,642.5,-0.7014604811,-0.7433309301,-0.6923629399,0.3105045492,0.2841210834,0.2801521188,0.7569305833,0.7433309301,0.7317491426,-0.4998200792,-0.5821596244,-0.5114068441,3961,3627,3534.5,548,650.5,547.5,2084,2022,1987.5,991.5,915.5,915.5,
0,503.7217,489.50485,451.2507,-151.8755,-87.4352,-67.70205,158.1596,89.58785,70.8225,344.5,279.5,269.5,386.5,242.5,311,0.1837672282,0.04525862069,0.1915708812,0.3898305085,0.4791318865,0.4602076125,-0.06818181818,-0.04525862069,0.04714640199,0.5352532274,0.5132605304,0.5989717224,266.5,221.5,211,305.5,316.5,192,117,78,78,107.5,66.5,66.5,
0,493.4612,490.3195,466.33585,-140.4501,-108.15455,-100.5679,125.0095,61.5431,36.05585,344.5,292,298,368,241.5,311,0.1599684791,0.09029345372,0.246492986,0.3442622951,0.3637901861,0.2681281619,-0.06736657918,-0.09029345372,-0.04325699746,0.4779116466,0.4396423249,0.4827175209,266.5,201.5,188,305,316.5,205,130,94,108.5,89.5,89.5,91.5,
0,477.4074,533.75525,513.5835,-127.028,-114.13965,-111.39565,90.9532,49.2436,44.26075,300.5,288,299,363,280,332.5,0.1560509554,0.1155378486,0.223551058,0.3892529489,0.3373493976,0.3569131833,-0.03898458749,-0.1155378486,-0.0704845815,0.5140771637,0.4358974359,0.5375722543,265,222,211,286.5,316.5,243,116.5,110,100,127.5,116.5,120,
0,531.2376,496.7117,445.82185,-109.9672,-95.7069,-100.1372,89.1448,90.9181,100.15575,330.5,292,282.5,384.5,239,298.5,0.1821675634,0.04366812227,0.2283950617,0.3039215686,0.4897959184,0.503006012,-0.06255506608,-0.04366812227,-0.09963985594,0.4605887939,0.5222929936,0.6560332871,266,219,187.5,301.5,335,229,142,75,62,127.5,72,45.5,
0,2482.9467,2365.5242,2364.7327,1911.3871,1737.67455,1561.7846,-472.5709,-480.9084,-529.64345,345.5,261.5,324.5,426,294.5,411.5,-0.7561534058,-0.7996257867,-0.716841562,0.3977220957,0.3873590349,0.3448322329,0.7915328467,0.7996257867,0.7465873294,-0.5125858124,-0.5972649573,-0.4941610326,3068,2645,2495,357,382,362,1322,1168,1215.5,553.5,465.5,500.5,
0,3178.6887,3463.14175,3575.0515,1845.6578,1571.87655,1405.2255,-1268.3149,-1705.4604,-1783.962,373.5,388.5,491.5,609,660,749.5,-0.6796844181,-0.631747803,-0.5817522321,0.2185443098,0.07617295308,0.0379932253,0.7111855325,0.631747803,0.5939828483,-0.5415882574,-0.583661883,-0.5560491633,3193.5,2924.5,2834.5,539,609,722,2048,2510.5,2627,907.5,1314.5,1373,
0,3291.448,3197.15205,3080.72885,2555.0803,2179.85945,1638.1126,-702.102,-866.11035,-980.9037,357.5,355.5,395,530,421.5,621,-0.7151686148,-0.7801538662,-0.6453961456,0.2772386193,0.3379067033,0.2252577868,0.7877048032,0.7801538662,0.6629634973,-0.5462328767,-0.6005685856,-0.4916086779,3191.5,3413,2881.5,379,514,584,1806,1689,1822,834,829,850,
0,1871.4645,1752.0039,1547.87985,1203.7559,1092.591,850.94945,-328.3746,-315.8341,-304.6172,294,263.5,281,468,290,354.5,-0.6267198405,-0.7238752678,-0.6185095507,0.3973963686,0.374715262,0.333924612,0.7153069807,0.7238752678,0.665559247,-0.305380334,-0.4791198922,-0.3586612393,2039.5,1810.5,1504,338.5,381.5,302,879.5,823.5,751,388.5,359,339.5,
0,3763.0399,3490.70885,3325.30165,562.5235,596.9174,455.7804,-1330.0961,-1306.7651,-1239.199,787.5,737.5,738.5,1152.5,1179,995.5,-0.3593663146,-0.3169177289,-0.3519934906,0.1013285296,0.07648591049,0.05740104366,0.2894806222,0.3169177289,0.2763865417,-0.2677890724,-0.2464046021,-0.3006673692,2445.5,2273,2077,1347.5,1014.5,1177.5,1995.5,1950,1851.5,1606,1532,1473,
0,3736.9684,3572.3058,3679.3509,2864.4672,2376.05805,1827.84755,-758.3388,-1083.7977,-1429.983,347.5,347.5,515.5,586,478,706,-0.7598852694,-0.7726516052,-0.6471764118,0.382028799,0.2811962874,0.1632256926,0.8135754249,0.7726516052,0.6556574155,-0.5324157191,-0.6278707668,-0.5411114722,4295,3727,3296,441.5,586,685.5,1920.5,2091,2371,744.5,871.5,1167.5,
0,2771.435,2849.40715,2676.273,2666.49555,2112.7706,1716.6252,-758.68085,-592.73935,-630.1799,225,268,352,404,368.5,544,-0.8101057579,-0.7933548297,-0.6711997582,0.3990917348,0.3800841515,0.3113587859,0.8550096339,0.7933548297,0.7533291059,-0.6073858115,-0.5916897507,-0.4549098196,3851,3198,2765,301,433,389,1654,1436.5,1452,630,548.5,531,
0,3770.6027,3583.0672,3603.18895,1827.5265,1987.55295,1969.2633,-1860.9368,-1341.8729,-1319.71905,399.5,388.5,427,693.5,564,753,-0.6684594239,-0.7130501145,-0.6344660194,0.1926527125,0.1783027122,0.1820256275,0.7221811004,0.7130501145,0.7130501145,-0.5461387435,-0.6126373626,-0.5115147584,3490,3367,3367,563,710,564,2362.5,2348,2330,1082,1000.5,1000.5,
0,3860.904,3708.6656,3711.8623,956.312,1016.1702,970.106,-1593.4727,-1332.8524,-1334.8404,634,663,777,1076,1062,1049,-0.4380467424,-0.4364552932,-0.4361730718,0.09613853503,0.1181330029,0.1117120865,0.4165916399,0.4364552932,0.4311730048,-0.3569400867,-0.3356271505,-0.341080402,2753.5,2707,2672,1134,1049,1062,2270.5,2135,2135,1591,1430,1430,
0,3543.4587,3468.9319,3129.2951,1587.9139,1604.5739,1253.0992,-1234.9784,-1061.6786,-1171.1817,540.5,552,578,808,752,708,-0.5895873016,-0.6071055381,-0.5693430657,0.2123970944,0.2318782539,0.1471765229,0.6164772727,0.6071055381,0.5712545676,-0.431186202,-0.4367041199,-0.4607768469,3129.5,3076,2580,742.5,789,704,2033,1918,1918,1181,1075,1075,
0,2995.5871,2569.2314,2291.2041,2315.0801,1418.4103,892.7442,-792.2228,-978.2676,-1024.6502,260,279,416,450.5,429,462,-0.7688261706,-0.6988416988,-0.5984354628,0.3574874471,0.1953568782,0.08399646331,0.8369304556,0.6988416988,0.5724668662,-0.5672430355,-0.583090379,-0.5416666667,3447,2420,1839,306,462,500,1631.5,1629,1554,669.5,803,854,
0,3697.0583,2901.327,2695.9196,2805.4053,1646.1181,1190.7075,-849.2259,-1078.2178,-1205.0167,310,290,416,662,429,511,-0.7316306882,-0.7300188798,-0.63064691,0.3591599714,0.1742844938,0.07300832342,0.8227010881,0.7300188798,0.6143112701,-0.5052316891,-0.6367485182,-0.5845528455,4271.5,2749,2256,415.5,597,539,2014,1933,1949,791.5,759,854,
0,1981.8847,1969.9735,1785.0665,1281.1581,1253.1703,779.9379,-423.1956,-427.1586,-404.0785,267.5,279,416,443,297,415,-0.6618965846,-0.7463706234,-0.5799595142,0.3662745098,0.3565505804,0.2453131233,0.7475922953,0.7463706234,0.558662007,-0.3902271163,-0.5311760063,-0.3901542983,2177.5,2045,1561,314.5,404,442,1010,970,946,440.5,451,398,
0,4717.9688,3289.5639,3091.8545,494.70685,1684.099,1312.3773,-459.65305,-1189.12305,-1211.5647,376,398,477,712,615,746,-0.6544528027,-0.6600801437,-0.5514131088,0.2758233533,0.1922199067,0.1202778984,0.6968641115,0.6600801437,0.6119962512,-0.4620324896,-0.5358490566,-0.4617604618,3409,3003.5,2580,609,661,621,1935,2035,2026,1043,1014.5,986,
0,2759.0667,2463.5551,2221.5494,1831.1887,1239.3277,836.6716,-761.3238,-858.7346,-796.5593,299,326,447,547.5,468,511,-0.6856609732,-0.6533333333,-0.556231003,0.3253583117,0.1875498803,0.1366952109,0.7764332174,0.6533333333,0.5375375375,-0.4637610186,-0.5308270677,-0.4540598291,2936,2232,1792,369.5,519,539,1494.5,1527,1361,686.5,713,721,
0,3447.1607,2888.3965,2869.176,2951.2867,2136.4721,1993.2028,-772.3538,-727.8025,-729.1896,262,253,377,395.5,310,493,-0.8304939462,-0.8240635641,-0.7245810056,0.423310839,0.3507039294,0.3329015544,0.8781882146,0.8240635641,0.8026277372,-0.627939793,-0.6657681941,-0.5161923454,4271,3214,3087,277,462,338,1730.5,1545,1545,635,632,632,
1,2620.1196,2155.6876,1048.1401,1502.6218,899.1998,405.918,-112.9996,-172.8896,-74.2324,360,397,275,660,544,359,-0.5164835165,-0.5557370355,-0.4333070245,0.454928835,0.3940724479,0.4176424668,0.6260801257,0.5557370355,0.5286195286,-0.08045977011,-0.2069970845,-0.01912568306,2070,1905,908,476,785,280,775.5,828,373,352.5,414,218,
0,1916.7876,1917.5551,1607.9769,1295.6073,1241.3437,665.7968,-490.4666,-483.3532,-628.1027,226.5,212,346,345,309,346,-0.7073170732,-0.7318872017,-0.5866188769,0.3155744403,0.3236074271,0.107589658,0.7541948137,0.7318872017,0.59711365,-0.5043103448,-0.5349887133,-0.511299435,2012.5,1996,1328,282,325,335,1047,1020,1070,510,451,485,
0,3310.5007,2595.3791,2449.0677,2582.0764,1615.835,1290.9031,-924.2404,-850.7267,-882.4822,274.5,251,323,499,377,492,-0.7734135543,-0.7473190349,-0.6417910448,0.3469563718,0.2467718795,0.1775456919,0.8516060211,0.7473190349,0.6809541558,-0.5828631139,-0.6137295082,-0.5239477504,3905.5,2607,2255,313,461,428,1893.5,1575,1575,740.5,675,675,
0,3588.8911,2965.625,2889.9876,3006.3871,2262.3191,1931.0433,-845.2133,-755.8828,-759.5234,275,231,349,467.5,297,510,-0.8064582902,-0.8372156755,-0.7126760563,0.3979975971,0.3521581283,0.3086526044,0.863549007,0.8372156755,0.7736289382,-0.6015341999,-0.6878612717,-0.5179584121,4363.5,3352,3040,319.5,440,388,1879,1606,1606,687.5,631,631,
1,1297.3846,1298.7144,976.4415,621.0491,620.1501,305.7459,-39.62,-42.0006,-88.1078,307,214,296,462,357,369,-0.4511434511,-0.5469543147,-0.3554585153,0.361761427,0.4274004684,0.3097046414,0.5006142506,0.5469543147,0.4795042898,-0.1068148864,-0.1560283688,-0.05141388175,1221.5,1219,776,406.5,401,273,572.5,489,409,280,167,167,
1,1032.1403,1040.3123,787.6631,471.1344,464.7224,192.3444,-31.4073,-30.1473,-42.0883,308,214,263,444,294,287,-0.4481044127,-0.5296,-0.3447488584,0.3918757467,0.4506828528,0.3059866962,0.512987013,0.5296,0.3665893271,-0.06820566632,-0.1036585366,-0.04333333333,1165,956,589,375,324,273,509,362,313,280,163,121,
1,2179.9715,1691.9861,1024.6877,599.8594,699.5453,424.567,-254.2904,-168.9344,-27.5575,476,495,295,617,412,319,-0.3853051059,-0.5660874144,-0.4838187702,0.3059403616,0.3743068392,0.4532488114,0.4586939418,0.5660874144,0.5219917012,-0.08997050147,-0.2433425161,-0.03915662651,1390.5,1487,917,516,538,288,739,677,345,407,323,167,
1,2035.9679,1442.6421,757.8784,591.3028,461.6221,217.3149,-253.7998,-195.3776,-58.1656,438,441,262,519,369,269,-0.4160337553,-0.5138339921,-0.372960373,0.3271816504,0.3034600113,0.3059866962,0.4440619621,0.5138339921,0.4330900243,-0.102852204,-0.2492370295,-0.07560137457,1258.5,1149,589,484.5,536,233,638,614,313,372,323,121,
0,3361.357,2539.8798,1821.947,788.6013,1206.9784,933.1293,-274.8081,-534.5757,-403.9978,765,481,361,986,553,466,-0.4592816013,-0.6142309034,-0.5716911765,0.3555781966,0.306606437,0.3158907272,0.5115024141,0.6142309034,0.6674792784,-0.1239449134,-0.3790005615,-0.3121771218,2661,2314,1710,860,667,341,1265,1228,889,728.5,637,463,
0,3601.7278,3710.2977,3537.6778,1751.2978,1582.1278,1154.513,-998.8219,-1312.3863,-1627.2576,581.5,564,560,898,830,824,-0.5988385079,-0.5818639798,-0.5242494226,0.2935754947,0.1614573701,0.02623906706,0.645706403,0.5818639798,0.5034168565,-0.3703768624,-0.4639974169,-0.5049564434,3579,3140,2640,770.5,854,872,1954.5,2267,2505,910.5,1175,1306,
0,3790.479,3442.0661,2327.9053,1631.2314,1458.3144,1213.8596,-1152.0205,-1228.4087,-927.8224,647.5,664,329,921,674,423,-0.6012123836,-0.6226203807,-0.6686251469,0.3144939127,0.1589682064,0.1738771011,0.6420959147,0.6226203807,0.6871287129,-0.3535708019,-0.5145840835,-0.5598335068,3698,2898,2130,806,872,395,1928.5,2103,1499,1001,1089,762,
0,4437.9842,4162.1791,4092.2913,1242.8138,1467.2781,1796.0006,-1748.0557,-1806.4185,-1784.0611,756,735,626,1039.5,925,890,-0.5877453896,-0.5534636737,-0.587962963,0.2634319527,0.07177352206,0.09409888357,0.6117149758,0.5534636737,0.6348903718,-0.3837261005,-0.5016163793,-0.5227882038,4003.5,3218,3430,964.5,1030,766,2334,2787,2840,1254.5,1540,1367,
0,4068.2494,3918.6634,3597.4896,1320.1811,1202.9432,1108.4696,-1118.9338,-1169.8873,-1488.2363,879.5,911,692,1178,1091,890,-0.4688310224,-0.4661120626,-0.502376293,0.2011430678,0.1703125,0.08785425101,0.4918708496,0.4661120626,0.4878183832,-0.2955598744,-0.3213063764,-0.4336621063,3257.5,2996,2687,1109.5,1081,925,2166.5,2124,2253,1305.5,1289,1427,
0,2148.0437,2691.5584,2957.186,1221.072,1786.5298,1660.6205,-246.3962,-422.2716,-705.3409,369,379,497,519.5,480,558,-0.7112685841,-0.7138599106,-0.6749198951,0.4266187884,0.3855421687,0.2860657571,0.7366046249,0.7138599106,0.6580161476,-0.4086511098,-0.452991453,-0.4818941504,3079,2875,2875,467,477,593,1237.5,1275,1596,547.5,442,638,
0,1854.2078,2629.9085,2948.7181,1072.2666,1836.8882,1678.7844,-132.5818,-449.8834,-766.4564,344,308,464,481.5,421,558,-0.7115038945,-0.744538835,-0.6749198951,0.4403126182,0.3855421687,0.2772101288,0.7428309945,0.744538835,0.6768737241,-0.3949104618,-0.5035377358,-0.4892448513,2856.5,2875,2875,421.5,442,554,1110,1275,1627,476.5,442,682,
1,1419.0553,1419.0553,1028.3171,784.8432,784.8432,229.8205,-148.9417,-148.9417,-219.315,342.5,251,330,441.5,315,357,-0.4923828686,-0.6345707657,-0.3419354839,0.3782851075,0.4275582573,0.1818181818,0.5383703704,0.6345707657,0.4,-0.1402142162,-0.2840909091,-0.1707317073,1298,1409,728,389.5,351,312,585.5,565,504,316,271,281,
1,1257.0414,1271.3795,982.0257,659.917,649.5694,252.2569,-131.8248,-145.7743,-175.0952,323.5,235,330,421.5,315,357,-0.4810710988,-0.5893089961,-0.3419354839,0.3547297297,0.4068090017,0.245508982,0.5108320251,0.5893089961,0.4545454545,-0.1523378582,-0.2400482509,-0.1052631579,1203,1219,728,389.5,311,273,573,514,441,315.5,259,259,
1,1600.6882,1729.4298,1554.3182,1106.951,1074.3189,333.3549,-82.7429,-358.5357,-802.6782,342,260,330,480.5,283,357,-0.5537497098,-0.7264378927,-0.4773060029,0.4115165577,0.3850329585,-0.07132995858,0.6226964113,0.7264378927,0.3850377488,-0.1842105263,-0.4739776952,-0.5305719921,1673,1786,1009,389,349,448,697.5,793,1164,386.5,442,643,
1,918.3364,960.3729,839.9714,420.4589,392.899,166.5998,-120.5178,-177.5881,-183.6751,294,187,363,381.5,251,289,-0.445494186,-0.5394495413,-0.3409350057,0.3344515263,0.3697959184,0.2618025751,0.4711538462,0.5394495413,0.427184466,-0.1304843305,-0.2119309262,-0.0868878357,994.5,839,588,357.5,267,236,496,386,344,298,305,305,
1,2682.1597,1491.432,647.3397,1261.4802,417.2563,123.8223,-433.3893,-191.5983,-143.8148,564.5,454,261,800.5,485,220,-0.4582064298,-0.4052728387,-0.3403298351,0.333642835,0.2804469274,0.2246575342,0.5204657728,0.4052728387,0.396875,-0.147043154,-0.1408325952,-0.1252485089,2154.5,1146,447,679.5,475,193,1076.5,644,283,637,322,221,
0,1303.4819,753.6673,412.65335,284.3524,54.8021,-110.17905,-100.1129,58.4126,95.89095,467,334,255,539.5,322,254.5,-0.3052157115,-0.2009925558,0.2090261283,0.33136289,0.4677786202,0.7120822622,0.3383955101,0.2009925558,-0.1828220859,0.02908917501,0.2944723618,0.8017699115,1013.5,484,166.5,501,348,241,509,175.5,28,316.5,131,75,
0,1361.8278,1147.046,494.433,252.7078,112.1826,-43.8862,-110.4069,78.2027,68.9926,439,418,238,539.5,476,290,-0.2880237545,-0.2253864931,0.05454545455,0.3251866938,0.4370229008,0.5568862275,0.3513326411,0.2253864931,0.05050505051,0.04100337675,0.2347600519,0.5934065934,976,753,260,468.5,556,235,497,295,74,298.5,187,100,
0,3085.633,3141.8726,3193.2566,1805.5296,1718.9039,1316.5537,-809.6393,-1050.2613,-1225.2886,469.5,383,497,756.5,544,692,-0.6098504384,-0.6902931967,-0.5848830234,0.3002186817,0.2235730476,0.1168886071,0.6581673307,0.6902931967,0.5651658768,-0.3790272932,-0.5518945634,-0.5023372887,3121.5,2969,2642,643.5,632,734,1680,1884,2089,798.5,900,995,
0,3817.6301,3856.8636,3852.2781,1138.9424,2113.798,2115.5776,-1867.5306,-1174.287,-1180.6516,505.5,511,572,873,644,824,-0.5872340426,-0.7009519387,-0.6327167372,0.1972182596,0.2448598131,0.2448598131,0.6035347504,0.7009519387,0.7009519387,-0.4411011524,-0.5505931612,-0.4589625739,3357,3663,3663,830,865,644,2251,2222,2222,1160.5,1042,1042,
