1005,TCB_05_T1,TCB_05_T2,TCB_05_T3,TCG_05_T1,TCG_05_T2,TCG_05_T3,TCW_05_T1,TCW_05_T2,TCW_05_T3,blue_05_T1,blue_05_T2,blue_05_T3,green_05_T1,green_05_T2,green_05_T3,mndwi_05_T1,mndwi_05_T2,mndwi_05_T3,ndmi_05_T1,ndmi_05_T2,ndmi_05_T3,ndvi_05_T1,ndvi_05_T2,ndvi_05_T3,ndwi_05_T1,ndwi_05_T2,ndwi_05_T3,nir_05_T1,nir_05_T2,nir_05_T3,red_05_T1,red_05_T2,red_05_T3,swir1_05_T1,swir1_05_T2,swir1_05_T3,swir2_05_T1,swir2_05_T2,swir2_05_T3,.geo
0,1841.1495,1876.7439,1988.45195,1265.8484,726.4946,516.5144,-393.7527,-627.4904,-888.1967,149,283,355.5,315,434,528.5,-0.725848564,-0.5584944049,-0.4455809074,0.3512776831,0.1549189597,-0.01147776184,0.7440633245,0.5584944049,0.4339229969,-0.5027624309,-0.4418006431,-0.454733041,1983,1532,1378,291,517,544,952,1121,1410,361,584,712,
0,2746.8681,2007.027,2126.9383,2099.5893,1261.4794,814.6176,-583.9673,-536.4817,-744.0795,278,260,324.5,429,273,522.5,-0.7585818796,-0.7648578811,-0.5359680284,0.3769552765,0.3063436404,0.148025224,0.8296252927,0.7648578811,0.5349456401,-0.5344546934,-0.5988243938,-0.4213732004,3125,2049,1729.5,291,418,524,1414,1088,1283.5,500,491,695,
0,3783.7701,6523.5161,2632.9037,1161.6955,66.7073,786.7249,-519.7581,-1532.11485,-1320.7981,1064,2456.5,461,1247,2571,562,-0.4117924528,-0.1580153922,-0.5445705024,0.3109943057,0.07994197144,0.01329080276,0.4507998061,0.1580153922,0.4815390595,-0.1156028369,-0.0790722665,-0.535153019,2993,3536,1906,1133,2608.5,667,1573,3012.5,1856,922,2369.5,1140,
0,3979.6919,6722.789,2007.3443,1120.5083,94.33335,952.1041,-350.3163,-1340.58065,-542.5787,1237,2538,291,1402,2682.5,468,-0.3766118275,-0.159025002,-0.5894736842,0.3408401906,0.1111278083,0.2662473795,0.4221405604,0.159025002,0.6014140521,-0.04103967168,-0.04875886525,-0.3833992095,3096,3697,1812,1258,2771.5,451,1522,2957.5,1050,852,2274,590,
0,4016.0788,4828.10735,2401.6008,1190.5903,399.65655,907.5312,-448.1609,-1157.87865,-829.1083,1203,1663.5,392,1366,1749.5,562,-0.3962430939,-0.2451731205,-0.5534366309,0.3292657269,0.1167650189,0.168559474,0.4398359161,0.2451731205,0.5225856698,-0.07702702703,-0.1321924603,-0.4244751664,3159,2886,1955,1229,1836,613,1594,2282.5,1391,920,1687,835,
0,4176.4881,5575.4409,2594.948,1343.828,448.1787,1179.6739,-420.9514,-1199.341,-858.0133,1260,1989.5,427,1404,2045,562,-0.4126751726,-0.2425224558,-0.6049209139,0.3518815052,0.1513643384,0.2287405813,0.4663482414,0.2425224558,0.6060499472,-0.07112140258,-0.09463198672,-0.4365914787,3377,3354.5,2283,1229,2152.5,560,1619,2472.5,1433,920,1937,896,
0,3778.1038,3046.41065,2557.4153,1069.2348,692.9065,947.581,-366.5326,-585.58825,-719.275,1203,929.5,392,1327,948.5,562,-0.378163074,-0.3970120788,-0.5769665036,0.340779576,0.2476933996,0.2019506598,0.4318403116,0.3970120788,0.4599303136,-0.04291381176,-0.1656036947,-0.4244751664,2941,2197.5,2095,1167,1061.5,775,1446,1325,1391,850,936.5,774,
1,3411.2893,2262.60595,1879.3192,1280.6262,803.64945,525.7527,-587.4568,-490.571,-458.092,717,383,396,1037,661,563,-0.4688860435,-0.4724660814,-0.4290060852,0.3155963303,0.249788315,0.1840336134,0.5102685624,0.4724660814,0.4082958521,-0.1799130091,-0.2524738479,-0.2659713168,2868,1845,1409,930,651.5,592,1492,1107.5,971,900,621.5,543,
0,1242.4045,804.8591,829.7029,-27.02,-184.3973,-231.5391,82.0358,179.95995,161.2125,431,293.5,302,679,506.5,571,-0.01092498179,0.2038027332,0.3006833713,0.35546875,0.3958333333,0.3175965665,0.09033778476,-0.2038027332,-0.2475490196,0.3458870168,0.5548733691,0.5643835616,694,335,307,579,507.5,509,330,145,159,220,71.5,102,
0,4234.0062,3637.83405,3562.8809,2428.7724,1428.48105,1418.5018,-866.8585,-1854.8454,-1801.3472,676,474,477,984,737,719,-0.6197101449,-0.5921416713,-0.5959539196,0.3432692308,0.03090567052,0.04143747708,0.6950455005,0.5921416713,0.5968512792,-0.3511374876,-0.5716983873,-0.5685568557,4191,2877,2840,754,746.5,717,2049,2704.5,2614,973,1419.5,1404,
